instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
cap132,GFC,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap132,GMI,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,50,optimal,LP Ottimo Intero
cap132,BEST,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,45,optimal,LP Ottimo Intero
cap133,GFC,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap133,GMI,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,45,optimal,LP Ottimo Intero
cap133,BEST,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap134,GFC,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,47,optimal,LP Ottimo Intero
cap134,GMI,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,62,optimal,LP Ottimo Intero
cap134,BEST,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap71,GFC,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap71,GMI,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap71,BEST,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap72,GFC,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap72,GMI,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap72,BEST,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap73,GFC,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap73,GMI,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,4,optimal,LP Ottimo Intero
